"	""ID""	""Area""	""Group""	""a1""	""b1""	""c1""	""d1""	""a2""	""b2""	""c2""	""d2""	""a3""	""b3""	""c3""	""d3""	""a4""	""b4""	""c4""	""d4""	""a5""	""b5""	""c5""	""d5""	""a6""	""b6""	""c6""	""d6""	""a7""	""b7""	""c7""	""d7""	""a8""	""b8""	""c8""	""d8""	""a9""	""b9""	""c9""	""d9""	""a10""	""b10""	""c10""	""d10""	""a11""	""b11""	""c11""	""d11""	""a12""	""b12""	""c12""	""d12""	""a13""	""b13""	""c13""	""d13""	""a14""	""b14""	""c14""	""d14""	""a15""	""b15""	""c15""	""d15""	""a16""	""b16""	""c16""	""d16""	""a17""	""b17""	""c17""	""d17""	""a18""	""b18""	""c18""	""d18""	""a19""	""b19""	""c19""	""d19""	""a20""	""b20""	""c20""	""d20""	""a21""	""b21""	""c21""	""d21""	""a22""	""b22""	""c22""	""d22""	""a23""	""b23""	""c23""	""d23""	""a24""	""b24""	""c24""	""d24""	""a25""	""b25""	""c25""	""d25""	""a26""	""b26""	""c26""	""d26""	""a27""	""b27""	""c27""	""d27""	""a28""	""b28""	""c28""	""d28""	""a29""	""b29""	""c29""	""d29""	""a30""	""b30""	""c30""	""d30""	""a31""	""b31""	""c31""	""d31""	""a32""	""b32""	""c32""	""d32""	""a33""	""b33""	""c33""	""d33""	""a34""	""b34""	""c34""	""d34""	""a35""	""b35""	""c35""	""d35""	""a36""	""b36""	""c36""	""d36""	""a37""	""b37""	""c37""	""d37""	""a38""	""b38""	""c38""	""d38""	""a39""	""b39""	""c39""	""d39""	""a40""	""b40""	""c40""	""d40""	""a41""	""b41""	""c41""	""d41""	""a42""	""b42""	""c42""	""d42""	""a43""	""b43""	""c43""	""d43""	""a44""	""b44""	""c44""	""d44""	""a45""	""b45""	""c45""	""d45""	""a46""	""b46""	""c46""	""d46""	""a47""	""b47""	""c47""	""d47""	""a48""	""b48""	""c48""	""d48""	""a49""	""b49""	""c49""	""d49""	""a50""	""b50""	""c50""	""d50"""
"1	""Archi lrdm1 O flipped_bw.txt""	7.51235	""N""	0.60866	0	0	0.52216	-0.00094	-0.00154	-0.00181	-0.00056	0.01076	0.00577	0.00688	0.01823	-0.00438	0.00227	0.00516	0.00477	-0.00152	0.00366	-0.00437	-0.00162	-0.0042	0.00374	-0.00069	-0.0013	-0.00021	0.0004	0.00023	0.00024	-0.0005	0.00233	-0.00022	-0.00233	-0.0002	-0.00017	-0.00075	-0.00014	0.00111	0.00036	-0.00136	-0.00015	0.0002	-0.00025	0.0006	-0.00024	0.00084	-0.00082	-0.00025	0.00014	0.00027	-0.00035	-0.00039	0.00012	0.00022	-0.00045	0.00047	0.00047	-0.00013	-0.00023	0.00042	0.00033	0.00017	-0.00027	-0.00031	-0.00029	0	0.00022	0.00019	-0.00058	0.00024	-0.00035	0.00005	0.00008	0.00024	0.00018	-0.00035	0.00021	0.00007	-0.00015	0.00018	0.00015	0.00003	-0.00005	0.00007	0.0001	-0.00003	-0.00006	-0.00006	0.00007	-0.00006	-0.00002	-0.00004	0.00004	-0.0001	-0.00015	-0.00005	0.00002	0	-0.00008	-0.00004	-0.00011	-0.00004	-0.00018	0.00002	-0.00014	-0.00001	-0.00007	0.00005	0.00011	0.00004	-0.00008	0.00009	-0.00001	-0.00006	-0.00009	-0.00004	-0.00002	-0.00001	-0.00002	0.00001	0.00011	-0.00007	-0.00007	0.00003	0.00004	-0.00007	-0.00002	-0.00003	0	-0.00005	-0.00005	0.00001	-0.00002	-0.00004	0.00001	0.00007	-0.00003	0.00003	-0.00005	-0.00003	-0.00007	0	0.00002	-0.00007	0	0.00006	-0.00009	-0.00003	0.00004	0.00006	-0.00002	0.00002	-0.00005	0.00005	-0.00012	-0.00002	-0.00001	0.00008	0.00001	0.00002	0.00003	0.00008	-0.0001	0.00003	-0.00002	0.00004	0.00001	-0.00002	0.00002	0.00011	-0.00008	-0.00002	-0.00004	0	-0.00001	-0.00004	0.00002	0.00011	-0.00006	0.00002	0.00003	0.00001	-0.00001	0.00003	-0.00003	0.00007	-0.00004	0	0.00002	0.00003	-0.00001	-0.00002	0.00001	0.00002	-0.00003	0.00001	0.00005	0.00003	-0.00001	0.00002	0"
"2	""arcy 25 lrdm1 O flipped_bw.txt""	7.0726	""N""	0.6013	0	0	0.52889	-0.00109	0.00532	0.00721	0.00101	0.00914	-0.00189	-0.00056	0.0144	-0.00429	0.00293	-0.00248	0.00491	-0.0039	-0.00058	0.00116	0.00249	-0.00217	-0.00021	-0.00164	-0.00357	-0.00345	-0.00158	-0.00216	-0.0011	0.00075	0.00029	0.00168	-0.00013	-0.00113	-0.00187	0.00121	-0.00111	0.00113	0.00119	-0.00017	-0.00041	0.00023	-0.00064	0.00012	-0.00024	0.00055	0.00089	0.00007	0.00101	0.0002	-0.00056	-0.00027	0.00013	-0.00009	0.00084	-0.00012	-0.00013	0.00025	-0.00082	-0.00033	-0.00017	-0.00005	0.00055	-0.00007	-0.00006	0.00006	-0.00049	0.00044	0.00021	-0.00023	0.00036	0.00005	0.0002	-0.00019	0	0.00018	0.00008	-0.00038	0.00002	-0.00025	0.00015	0.00004	0.00013	0.00001	-0.00032	-0.0002	-0.00019	-0.00003	-0.00021	0.0003	0.00011	-0.00014	-0.00008	0.00006	-0.00024	-0.00001	-0.00003	0.00005	0.00001	-0.00001	0.00026	0.0002	-0.00023	0	-0.00009	0.00008	0.00007	0.00011	-0.00029	0.00018	-0.00006	0.00017	0.00012	0.00007	0.00017	0.00002	0.00021	0.00003	0.00013	0.00003	0.00008	-0.00023	0.00006	-0.00012	0.00014	0.00003	0.00013	-0.00007	-0.00008	-0.00013	-0.00006	0.00001	-0.00024	0.00006	0.00006	-0.00004	-0.00001	0.00002	0	0.00009	0.00007	-0.00001	0.00001	0	0.00008	-0.00001	-0.00005	-0.00012	0	0.00001	-0.00001	-0.00002	-0.00009	0.00006	-0.00012	0.00004	-0.00007	0.00004	0.00001	0.00005	0.00001	0.00007	-0.00003	0.00004	0.00005	-0.00006	-0.00002	-0.00003	0.00011	-0.00002	-0.00006	-0.00011	0.00005	-0.00008	-0.00005	-0.00001	-0.00007	0	-0.00013	0	-0.00007	-0.00003	-0.00002	0.00003	0.00003	0.00001	-0.00001	0.00013	0.00005	-0.00003	-0.00002	-0.00004	0	0.00001	0.00009	0	-0.00007	0.00004	-0.00005	-0.00002	-0.00005"
"3	""AUS 1971-187 lrdm1 corrected flipped.txt""	7.21686	""R""	0.62034	0	0	0.5121	-0.00041	-0.00106	-0.00056	0.00036	0.02069	0.00905	0.01263	0.01225	-0.00093	0.00181	0.00435	0.00121	0.0042	0.00772	-0.00484	0.00141	-0.002	0.0021	-0.00113	0.00126	0.00286	0.00226	-0.0012	-0.00055	-0.00126	0.00089	0.00017	-0.00108	0.00112	0.00042	-0.00129	0.00158	-0.00071	0.00036	-0.00043	0.00001	0	-0.00027	-0.00001	0.00009	-0.00042	0.00046	0.00077	-0.00044	-0.00036	-0.00038	-0.00045	0.00047	-0.00003	0.00053	-0.00042	-0.00031	-0.00047	-0.00045	0.00012	0.00001	0.00014	0.00027	0.0001	0.00002	-0.00033	-0.00037	-0.00007	0	0.00016	0.0001	-0.0003	-0.00024	-0.00015	-0.0004	-0.00003	-0.00012	0.00016	0.00005	0.00016	0.00016	0.00001	-0.00035	0.00015	-0.00011	0.00012	0.00003	-0.00023	-0.00019	0.00001	-0.00014	0.00018	0.0001	0.00022	0.00007	0.00022	0.00006	0	-0.00008	-0.00001	-0.00005	0.00012	0.00011	-0.00014	0.00005	0	-0.00003	0.0001	0.00008	0.00005	0.00005	0.00003	0.00011	-0.00003	-0.00004	-0.00008	-0.00002	-0.00005	0.00001	-0.00009	0.00003	-0.00008	-0.00002	0.0001	0.00008	0	-0.00003	0.00002	-0.00007	-0.00011	0.00001	-0.00007	-0.00002	0	0	0.00004	0.00005	-0.00006	0	0.00003	-0.00001	-0.00004	0.00003	0.00001	0.00003	-0.00001	-0.00005	-0.00009	-0.00005	-0.00004	0.00002	-0.00002	-0.00005	0.00001	-0.00013	-0.00001	0.00001	-0.00001	0.00003	0.00004	0.00002	-0.00003	-0.00005	0.00011	0.00002	-0.00001	0.00004	-0.00001	-0.00001	-0.00002	0.00003	0.00002	-0.00003	0.00002	0.00001	-0.00005	-0.00001	0.00002	0.00002	-0.00003	-0.00002	0.00004	-0.00004	-0.00001	0	0.00003	0.00003	0.00004	0	0	-0.00005	0	0.00006	0.00003	0.00003	-0.00003	0	-0.00005	-0.00003	0.00002	0.00001"
"4	""AUS 30-444  lldm1 corrected_bw.txt""	7.75503	""R""	0.61638	0	0	0.51529	0.00326	-0.00388	-0.00228	-0.00772	0.01602	0.00912	0.01581	0.01887	0.0009	0.00224	0.00835	0.00583	-0.00117	0.00745	-0.00783	0.0017	-0.00374	0.00318	-0.00352	0.00199	-0.00035	0.00076	-0.00032	-0.00172	-0.00157	0.00102	0.00066	-0.00308	0.00057	-0.00023	-0.00105	-0.00019	-0.00088	0.00094	-0.00037	0.00145	-0.00004	-0.00029	0.00079	0.00047	-0.00092	0.00004	-0.00024	-0.001	-0.00019	0.00002	0.00005	-0.00029	-0.00009	-0.00001	0.00037	-0.00011	0.00004	0.00048	0.00052	0.00014	-0.00027	-0.00012	-0.00031	0.00048	-0.00009	0.00019	-0.00062	0.00005	-0.00038	-0.00036	-0.00009	-0.00017	0.00008	-0.00024	-0.00005	-0.00018	-0.00017	-0.00024	0.00012	-0.00004	0.00009	-0.00014	0.00016	0.00002	-0.00017	-0.00008	0.00015	-0.00001	0.00014	-0.00008	-0.00007	-0.00011	-0.00006	-0.00005	-0.00004	-0.00008	0.00025	-0.00001	0.00016	0.00001	0.00005	-0.00005	0.00007	-0.00006	0.0001	-0.00003	-0.00015	0.00023	-0.00009	0	0.00002	0.00026	-0.00004	-0.00005	0.00007	0.00003	-0.00012	0.00001	-0.00003	-0.00015	-0.00003	0.00001	-0.00002	-0.00007	0	-0.00005	-0.00008	-0.00004	-0.00005	0.00002	0.00001	0.00012	-0.00004	-0.00008	0.00004	0.00009	-0.00009	0.00003	-0.00001	-0.00006	-0.00002	0.00002	0.0001	-0.00011	0.00003	0.00003	0.00006	-0.00009	0.00005	0.00006	-0.00004	0.00001	0	0.00003	-0.00004	0.00015	0.00005	0.00002	-0.00003	0.00003	-0.00005	-0.00004	-0.00007	-0.00004	0.00009	-0.00004	-0.00008	-0.0001	0	-0.00004	0.00003	-0.00006	0.00008	-0.00003	0.00008	0.00006	0.00003	0	0.00005	0	-0.00001	-0.00001	-0.00003	0.00004	0.00001	0.00003	0	0.00003	-0.00002	-0.00004	-0.00002	0	0	0.00004	0	-0.00002	-0.00004	0	0.00005	0.00002"
"5	""Balla lldm1 O_bw.txt""	6.63615	""U""	0.63164	0	0	0.50272	-0.00015	-0.00467	-0.00602	0.00052	0.02278	0.01443	0.0229	0.01784	0.0013	-0.0001	0.00801	-0.0013	0.00279	0.01249	-0.00833	0.00237	-0.00137	0.00117	-0.00348	0.00456	0.00216	0.00282	-0.00325	-0.0015	-0.00144	-0.00039	0.00037	-0.00158	0.00038	0.00018	-0.0007	0.00114	-0.00005	-0.00066	-0.0011	-0.00061	-0.00008	0.00094	0.00159	-0.00104	-0.00009	-0.00125	0.00038	0.00073	0.00008	0.00125	-0.00064	0.0005	-0.00022	-0.00088	0.00005	-0.00017	0.00005	0.0005	-0.00019	-0.00025	-0.00011	-0.00063	0.00008	0.0003	-0.00012	0.0003	-0.00028	0.00016	-0.0001	-0.00033	0.00016	-0.0001	0.00004	0.00023	0.00015	-0.00053	-0.00001	-0.00021	0.00025	0.00007	0.00035	0.00019	-0.00032	-0.00002	-0.00006	0.00008	0.00003	-0.00003	0.00012	-0.00005	0.00011	0.00028	0.00016	0.00014	0.00008	-0.00028	-0.00008	0.00001	-0.00008	-0.00006	0.00037	0.00032	0.00017	-0.00003	-0.00011	0.00005	0.00009	0.00006	0.00032	0.00015	-0.00031	0.00012	-0.00013	0.00005	-0.00008	-0.00005	0.00007	-0.00004	-0.00005	0.00016	-0.00002	-0.00001	0.00006	-0.00009	-0.00004	0	0.00002	0.00001	-0.00001	0.00004	0	-0.00003	-0.00007	-0.00001	-0.00006	0.00004	-0.00003	-0.00002	-0.00002	0.00004	-0.00001	-0.00011	-0.00007	-0.00004	-0.00007	0.00003	0.00008	0.00003	-0.00002	-0.00011	0.00006	0.00006	-0.00008	0	-0.00011	0.00001	-0.00001	-0.00005	0.00001	-0.00007	-0.00006	-0.00007	0.00004	-0.00002	0.00003	-0.00005	-0.00002	0.00004	-0.00003	-0.00008	-0.00003	-0.00002	-0.00002	-0.00002	0.00007	0.00008	-0.00001	-0.00007	0.00004	-0.00001	-0.00006	-0.00003	-0.00007	0	0.00003	-0.00001	0.00001	-0.00003	-0.00004	-0.00005	0	-0.00001	0.00008	0.00001	0.00003	-0.00004	0	-0.00002	0.00004	-0.00003"
"6	""Barakai lldm1 3_CMA_EDIT_bw.txt""	7.67022	""N""	0.60321	0	0	0.52731	-0.00511	-0.00372	-0.00617	0.00388	0.01113	0.00856	0.01003	0.01334	-0.0055	0.00127	0.00706	0.00156	-0.00106	0.00643	-0.00514	0.00095	-0.00459	0.00399	-0.00095	0.00062	0.00021	0.00179	0.00014	-0.00143	-0.00118	0.00159	-0.00082	-0.00273	0.00068	0.00052	-0.00104	0.00018	0.00043	-0.00012	-0.00081	0.00009	0.0007	0.00004	0.0005	-0.00038	0.00033	-0.00073	0.00022	-0.00021	0.00047	-0.00007	-0.00041	0.0004	0.00004	-0.00027	0.00014	0.00034	-0.00009	-0.00021	0.00011	0.00041	-0.00004	0.00006	0.00022	0	-0.00013	0.00009	0.00026	-0.00021	0.00018	0.00001	-0.00028	-0.00027	0.0001	0.00003	-0.00026	-0.00009	0.00029	-0.00031	-0.00015	0.00002	0.00008	-0.00009	0.00009	0.00004	0.00007	-0.00041	-0.0001	0.00016	-0.00012	-0.00007	-0.00009	0.00018	-0.00008	-0.00019	0.00026	0.00007	-0.00022	0.00009	0.00024	0.00003	-0.00005	0.00008	0.00011	-0.00003	-0.00004	0.00022	-0.00002	-0.00022	0.00011	0.00005	-0.00011	-0.00017	0.00002	0.00002	-0.00021	0.00012	0.0001	-0.00006	-0.00003	0.00015	-0.00009	-0.00008	0.00006	0.00004	-0.00004	-0.00002	0.00011	0.00004	-0.00013	-0.00006	-0.00007	0	-0.00007	0.00007	-0.00002	0	-0.00003	-0.00004	0.00009	-0.00009	0.00002	0.00006	0.00005	-0.00008	0.00004	0	0	0	0.00005	0.00006	-0.00005	0.00006	0.00003	-0.00001	-0.00001	0.00001	0.00004	-0.00007	-0.00008	-0.00005	0.00004	-0.00007	-0.00009	-0.00007	-0.00003	-0.00008	0.00001	0.0001	0.00005	-0.00005	0.00007	0.00005	-0.00008	0.00005	0.00015	-0.00002	0	0.00003	0.00004	0	-0.00001	0.00013	-0.00003	-0.00007	0.00004	0.00008	0.00001	-0.00004	0.00006	0.00008	-0.00001	0	0.00007	0.00002	-0.00007	0.00001	0	0.00002	-0.00007	0.00004"
"7	""Bruniquel  II lrdm1 O flipped_bw.txt""	7.25442	""U""	0.61721	0	0	0.51472	0.00335	-0.00223	-0.00575	-0.00507	0.01617	0.01167	0.01579	0.01886	0.0035	-0.00053	0.00702	-0.00026	0.00184	0.00907	-0.00618	-0.00292	-0.00138	0.00139	-0.00255	0.00477	0.00159	0.00249	-0.00111	0.0023	-0.0017	0.00077	0.00133	-0.00173	-0.00034	-0.00007	-0.00135	-0.00027	-0.00106	0.00068	-0.00129	0.00055	-0.00077	0.00027	0.00064	0.00022	-0.00031	-0.00018	0.00028	-0.00089	-0.00005	0.00034	-0.00015	-0.00109	-0.00027	-0.00032	-0.00005	0.00006	0.00034	0.00039	0.00011	0.0003	-0.0004	0.00006	0.00054	0.00034	0.00017	0.00032	0.00033	0.00001	-0.00027	0.00023	-0.00015	-0.00041	-0.0001	0.00015	-0.00056	0.00021	-0.00003	0.00003	-0.00017	0.00025	-0.00021	-0.00002	0.00011	-0.00002	0.00002	-0.00011	0.00013	-0.00026	-0.00001	0.00013	0.00007	-0.00028	-0.00003	-0.00012	-0.00022	0.00008	0.00019	0.00004	-0.00017	0.00002	-0.00007	-0.00002	0.00032	0.00005	0.00005	-0.00011	0.00009	0.00011	0.00007	0.0001	-0.00013	-0.00025	-0.00006	-0.00002	-0.00001	0.00002	0.00011	-0.00002	0.00002	0.00025	-0.00004	0.00007	0.0001	-0.00004	-0.00003	-0.00002	-0.00001	-0.00009	0.00003	0.00012	-0.00004	0	0.00002	0.00005	0.00001	-0.00003	0.00007	-0.00003	-0.00013	-0.00008	0.00009	0.00003	-0.00004	-0.00005	0.00005	-0.00003	0.00011	0.00002	0.00009	-0.00001	-0.00003	0.00005	0.00002	0.00004	-0.00001	0.00001	0	-0.00006	0	0.00003	0.00001	0.00005	0.00001	0.00001	-0.00002	0.00001	0.00007	-0.00001	0.00002	0.00001	-0.00005	0.00001	-0.00004	0.00002	-0.00007	0.00003	-0.00001	-0.00002	0.00002	0.00001	-0.00003	0.00001	0.00005	0.00001	-0.00006	0.00001	0.00003	0.00003	-0.00002	-0.00001	-0.00007	-0.00004	-0.00006	0.00005	0.00001	-0.00001	0.00002	-0.00002	0.00005	0"
"8	""Combe Grenal I lrdm1 O flipped_bw.txt""	7.0499	""N""	0.60257	0	0	0.52786	0.00119	-0.00496	-0.00931	-0.00312	0.00452	0.00661	0.01029	0.02229	-0.00175	0.00036	0.00944	0.0032	-0.00648	0.0036	-0.00719	-0.00276	-0.00358	0.00341	-0.00196	0.00187	-0.00276	-0.0003	0.00151	-0.00079	-0.00104	0.00113	-0.00111	-0.00307	-0.00091	-0.00007	-0.00071	-0.00073	0.00101	0.00041	0.00072	-0.00018	0.00018	-0.00038	0.00017	-0.00035	0.00114	0.00056	-0.00003	0.00012	-0.00021	-0.00049	-0.00011	0.00081	0.00089	0.00051	-0.00004	0.00018	-0.00031	-0.00013	0.00035	-0.00031	0.00068	0.00021	-0.00024	-0.00006	-0.00005	0.0005	0.0002	-0.00011	0.00056	0.00021	0.00007	0.00003	0	0.00063	-0.00005	-0.00007	0.00043	0.00014	-0.00011	-0.00012	0.00005	0.00059	0.00006	-0.0001	0.00027	0.00015	0.00023	0.00019	-0.00008	0.00036	-0.00019	0.00014	-0.00005	0.00017	-0.00007	0.00014	-0.00028	0.00023	0.00011	0.00015	-0.00014	0	-0.00005	-0.00004	-0.00024	0.00008	-0.00023	-0.00021	-0.00008	-0.00011	-0.00008	-0.00013	-0.00008	-0.0001	-0.00002	0.00003	0.00003	-0.00015	0.00006	-0.00003	-0.00012	-0.00003	0.00012	0.00004	-0.00005	-0.00009	0.00006	0.00013	-0.00006	0.00013	0.0001	-0.00002	-0.00007	-0.00005	0	-0.00007	0.00002	0.00007	-0.00016	-0.00001	0.00003	-0.00001	-0.00004	-0.00003	0.00001	0	0.00002	0.00006	-0.00001	-0.00008	-0.00006	0.00006	-0.00003	0.00002	-0.00003	-0.00006	-0.00007	-0.00007	0.00006	-0.00002	0.00004	0.00005	0.00011	-0.00002	-0.00002	0.00005	0.00008	-0.00007	-0.00001	0.00004	-0.00008	0.00007	0	-0.00001	-0.00011	0.00005	-0.00008	-0.00002	-0.00001	0.00003	-0.00008	-0.00012	-0.00007	0.00007	-0.00002	-0.00002	0.00001	-0.00006	-0.00004	-0.00007	0.00013	-0.00013	0.00007	-0.00003	-0.00001	-0.00008	0.00002	-0.00003	-0.00009	0.00004"
"9	""DK6246_lldm1_O corrected_bw.txt""	7.18562	""E""	0.60857	0	0	0.5225	-0.00096	-0.00441	-0.00619	0.00427	0.01109	0.00308	0.00332	0.01613	-0.00585	0.00403	0.01201	0.00689	-0.00149	0.00141	-0.00244	-0.00132	-0.00483	0.00508	-0.00489	-0.00274	-0.00033	-0.00075	-0.00078	-0.00066	-0.00141	0.00106	-0.00025	-0.00024	0.00094	0.00006	0.00147	-0.00139	-0.00127	-0.00024	-0.00088	0.00053	0.00164	0.00051	0.00009	-0.00027	-0.00188	0.00005	0.00091	0.00084	0.00143	0.00002	-0.00039	0.00021	-0.00184	0.00024	-0.00038	-0.00022	0.00131	-0.0004	-0.00007	-0.00031	-0.00141	0.00016	0.0001	-0.0002	0.0008	-0.00055	-0.00017	0.0009	-0.00063	0.00017	-0.00015	-0.00079	0.00015	-0.00055	0.00029	0.00019	-0.00008	0.00024	0.00014	-0.00015	0.00028	-0.00034	0.00002	-0.00008	-0.00009	0.00026	-0.00024	-0.00005	0.00034	-0.00009	0.00043	0.00018	-0.00001	-0.00006	-0.00032	-0.00018	0.00004	0.00026	0.00015	0.00037	0.00013	-0.00027	-0.00003	-0.00017	-0.00016	0.0003	-0.00003	0.00004	0.0001	-0.00016	0.00008	0.00006	-0.00009	0.00016	-0.00012	0.00002	-0.00004	-0.00007	-0.00003	-0.00002	0.00001	0.00005	0.00004	-0.00005	0.00003	-0.00006	0.00002	-0.00015	0.00002	0.0001	0.00002	0.00013	0.00011	-0.00007	-0.00002	-0.00004	-0.00007	0.00013	0.00002	-0.00001	0.0001	-0.00014	-0.00006	0.00003	-0.00007	0.00011	-0.00006	0	0.00007	-0.00004	0.00018	0.00003	-0.00008	0.00007	-0.00001	0	0.00007	0.00004	0.00001	-0.00002	-0.00004	-0.00001	-0.00016	-0.00011	0.00004	0.00003	0.00005	0.00006	-0.00001	-0.00004	0.00003	0.00003	-0.00001	0.00003	0.00002	0.00003	-0.00004	0	0	0	-0.00005	0.00005	0.00004	0.00004	-0.00003	-0.00002	-0.00006	-0.00001	-0.00002	0.00007	0.00001	-0.00005	-0.00001	-0.00006	-0.00001	-0.00004	0	0.00002	-0.00003	0.00003"
"10	""DK6291_lldm1_O corrected_bw.txt""	6.54204	""E""	0.60203	0	0	0.52823	-0.00286	-0.00917	-0.01253	0.00228	0.00757	0.00027	-0.00055	0.01873	-0.00195	-0.00264	0.00836	-0.00054	-0.00502	0.00229	0.00346	-0.00028	-0.00226	0	-0.00313	0.00158	-0.00218	0.00131	-0.00312	-0.00204	-0.00195	-0.00085	0.00101	-0.00094	-0.00074	-0.00069	0.00015	0.00062	-0.00038	-0.00043	-0.00091	-0.00054	-0.00079	-0.00018	0.00027	-0.00018	-0.00028	-0.00007	0.00104	0.00048	-0.00014	-0.00002	0.00011	-0.00035	0.00018	0.00091	0.00032	-0.00075	-0.0001	0.00001	-0.00016	0.00033	0.00051	0.00053	-0.00065	0.00023	-0.00017	0.00008	0.00026	-0.00004	0.00033	0	-0.00008	0.00008	-0.00017	0.00014	-0.00007	0.00013	0.0002	-0.00001	0.0001	0.00001	-0.00022	-0.00001	-0.00011	-0.00006	0.00019	-0.00002	-0.00007	-0.00009	0.00002	-0.00017	-0.00005	-0.00017	0.00011	0.0001	0.00021	0.00015	0.0001	-0.00017	0.00008	0.00003	-0.00004	0.00009	-0.00018	-0.00001	0.00003	-0.00015	-0.00004	0.00002	-0.00011	-0.00001	0.00004	0.0001	-0.00001	-0.00004	0.00015	0.00009	-0.00015	0.00008	0.00009	-0.00001	-0.00002	0.00007	-0.00001	-0.00014	-0.00008	-0.00005	-0.00022	-0.00008	0.00006	0	-0.00009	0.00002	0.00005	-0.00012	0.00011	-0.00008	-0.00002	-0.00003	0	0.00011	0.00005	-0.00004	0.00002	0.00007	-0.00005	0.00003	0.0001	-0.00008	-0.00002	-0.00005	-0.00002	0.00002	0.00008	0.00006	-0.00005	-0.00009	-0.00005	-0.00001	0.00001	0.00004	0.00001	0.00003	-0.00002	0.00016	-0.00002	0	-0.00002	-0.00008	-0.00007	-0.00004	-0.00004	-0.00003	0.00007	0.00002	0.00005	-0.00004	-0.00004	-0.00006	0.00001	-0.00003	0.00002	0.00007	0.00001	0.00011	-0.00004	0	0.00005	0.00001	-0.00006	0.00002	-0.00007	-0.00001	-0.00002	0.00003	0	0	-0.00003	-0.00002	0.00001	0"
