Ldm1,,,,
Specimen Number,ID,Group,,
STS 24,STS24lrdm1flcrsc.jpg,Aafricanus,,
DNH 60,DNH60lldm1Oflcrsc.jpg,Probustus,,
SK 61,SK61lldm1flcrsc.jpg,Probustus,,
SK 62,SK62lldm1flcrsc.jpg,Probustus,,
SK 63,SK63lldm1flcrsc.jpg,Probustus,,
SK 64,SK64lrdm1flcrsc.jpg,Probustus,,
SK 3978,SK3978lrdm1flcrsc.jpg,Probustus,,
TM 1536,TM1536lldm1flcrsc.jpg,Probustus,,
TM 1601,TM1601lrdm1flcrsc.jpg,Probustus,,
L704-2,OmoL704-2lldm1Oflcrsc.jpg,Pboisei,,
AL 1030-1,AL1030-1ldm1O2flcrsc.jpg,Aafarensis,,
101-1400,101-1400lldm1flcrsc.jpg,Hnaledi,,
DK6246,DK6246_lldm1_O corrected_bw.jpg,EHs,,
DK6291,DK6291_lldm1_O corrected_bw.jpg,EHs,,
Qafzeh 15,Qafzeh 15 lldm1 O_bw.jpg,EHs,,
Archi ,Archi lrdm1 O flipped_bw.jpg,Neanderthals,, 
Arcy 25,arcy 25 lrdm1 O flipped_bw.jpg,Neanderthals,,
Combe Grenal I,Combe Grenal I lrdm1 O flipped_bw.jpg,Neanderthals,,
Kebara 1,Kebara 1 lldm1 O_bw.jpg,Neanderthals,,
La Ferrassie 8,La Ferrassie 8 lrdm1 O flipped_bw.jpg,Neanderthals,,
Molare ,Molare lrdm1 O flipped_bw.jpg,Neanderthals,,
Peche,Peche rdm1 O flipped_bw.jpg,Neanderthals,,
Roc de Marsal,Roc de Marsal lldm1 O_EDIT_CMA_bw.jpg,Neanderthals,,
Bakarai,Barakai lldm1 3_CMA_EDIT_bw.jpg,Neanderthals,,
KRP 51,KRP 51 lldm1 O_bw.jpg,Neanderthals,,
Mezmaskaiya,Mezmaskaiya lldm1 O_bw.jpg,Neanderthals,,
Valgedoba,Valgedoba 6 lldm1 O_bw.jpg,Neanderthals,,
SAF 51,SAF 51 lrdm1 corrected flipped_bw.jpg,Recent,,
SAF 52,SAF 52 lrdm1 corrected flipped_bw.jpg,Recent,,
SAF 58b,SAF 58b lldm1_bw.jpg,Recent,,
SAF 95,SAF 95 lrdm1 flipped_bw.jpg,Recent,,
SAF 137,SAF 137 lrdm1 corrected flipped_bw.jpg,Recent,,
