,SPECIE,%META ,%PROTO ,%IPO ,%IPOCON ,%ENTO ,,,,SPECIE,META,PROTO,IPO,IPOCNL,ENTO
DNH 2,Probustus,24.61938519,19.75204739,22.91709377,15.37996741,17.3318659,,,DNH 2,Probustus,22.817,18.306,21.23933333,14.254,16.063
DNH 44,Probustus,25.66898803,20.61573328,20.93321352,14.05436478,18.7277004,,,DNH 44,Probustus,25.89966667,20.801,21.12133333,14.18066667,18.896
DNH 56,Probustus,22.09160659,19.51844855,23.50117593,16.1344797,18.75428924,,,DNH 56,Probustus,19.09966667,16.875,20.31833333,13.94933333,16.21433333
DNH 60,Probustus,23.14916824,18.3889404,20.90668545,16.79035161,20.76485431,,,DNH 60,Probustus,23.884,18.97266667,21.57033333,17.32333333,21.424
TM 1536,Probustus,24.82178307,20.43145899,21.70540387,14.01951685,19.02183721,,,TM 1536,Probustus,25.67366667,21.13266667,22.45033333,14.50066667,19.67466667
SK 3978,Probustus,21.6925285,19.41078819,23.56703135,16.0511511,19.27850086,,,SK 3978,Probustus,25.089,22.45,27.257,18.56433333,22.297
SK 852,Probustus,25.97607143,17.08799898,20.67568647,16.58514768,19.67509544,,,SK 852,Probustus,27.103,17.82933333,21.57266667,17.30466667,20.52866667
SK 842-869,Probustus,24.90021442,21.44631161,23.14535895,13.24578094,17.26233409,,,SK 842-869,Probustus,25.432,21.90433333,23.63966667,13.52866667,17.631
SK 841a,Probustus,23.5383141,21.2033598,19.77515255,15.61863704,19.86453651,,,SK 841a,Probustus,24.315,21.903,20.42766667,16.134,20.52
KB 5223-5383,Probustus,24.45958278,21.51252293,24.40550265,13.52371998,16.09867166,,,KB 5223-5383,Probustus,26.534,23.337,26.47533333,14.67066667,17.464
KB 5503,Probustus,23.7188923,17.73158696,20.95213093,18.41694872,19.18044109,,,KB 5503,Probustus,25.29833333,18.91233333,22.34733333,19.64333333,20.45766667
SK 64,Probustus,26.35444427,18.9469395,22.18669593,15.27637663,17.23554367,,,SK 64,Probustus,26.73333333,19.21933333,22.50566667,15.496,17.48333333
SK 62,Probustus,23.04622791,17.72893132,24.01447145,15.72781943,19.48254989,,,SK 62,Probustus,27.22166667,20.941,28.36533333,18.57733333,23.01233333
SK 61,Probustus,25.64499497,20.69302931,21.52475481,15.24704631,16.8901746,,,SK 61,Probustus,34.071,27.492,28.597,20.25666667,22.43966667
SK 438,Probustus,24.90542744,21.03800313,22.27765555,14.10563637,17.67327751,,,SK 438,Probustus,26.225,22.15266667,23.458,14.853,18.60966667
SKX 50081,Probustus,23.92349643,19.63233223,23.56171749,14.35619735,18.5262565,,,SKX 50081,Probustus,31.146,25.55933333,30.675,18.69033333,24.11933333
MLD 5,Aafricanus,27.82191384,20.56334923,23.17786567,13.1835157,15.25335557,,,MLD 5,Aafricanus,26.919,19.896,22.42566667,12.75566667,14.75833333
STW 104,Aafricanus,24.04157156,21.46860279,24.29896557,13.56612112,16.62473896,,,STW 104,Aafricanus,24.752,22.103,25.017,13.967,17.116
STW 428,Aafricanus,23.79389731,21.67193191,21.82699861,13.97708685,18.73008532,,,STW 428,Aafricanus,23.32333333,21.24333333,21.39533333,13.70066667,18.35966667
TAUNG,Aafricanus,25.71699251,21.17322433,20.88702358,14.33322512,17.88953446,,,TAUNG,Aafricanus,25.87866667,21.30633333,21.01833333,14.42333333,18.002
STW 67,Aafricanus,21.19487538,22.90188673,19.62004916,19.26679581,17.01639291,,,STW 67,Aafricanus,21.69966667,23.44733333,20.08733333,19.72566667,17.42166667
EQ-H8,EHs,20.5763017,28.68819806,20.08498458,12.25784558,18.39267008,,,EQ-H8,EHs,13.946,19.444,13.613,8.308,12.466
UW 101-1400,Hnaledi,27.76018394,21.82117912,23.59116741,12.35629691,14.47117262,,,UW 101-1400,Hnaledi,25.596,20.12,21.752,11.393,13.343
Omo l 64-2,Pboisei,22.78636106,17.41550369,22.70343364,17.05615157,21.63210113,,,Omo l 64-2,Pboisei,30.5,23.311,30.389,22.83,28.955
Omo L576-27,Pboisei,24.68686263,22.09418895,21.38091562,13.89903553,17.77652305,,,Omo L576-27,Pboisei,21.424,19.174,18.555,12.062,15.427
Archi I,Neanderthals,19.28403586,24.27241818,21.69683763,15.25000985,19.46781837,,,Archi I,Neanderthals,14.69,18.49,16.528,11.617,14.83
