"	""ID""	""Area""	""Group""	""a1""	""b1""	""c1""	""d1""	""a2""	""b2""	""c2""	""d2""	""a3""	""b3""	""c3""	""d3""	""a4""	""b4""	""c4""	""d4""	""a5""	""b5""	""c5""	""d5""	""a6""	""b6""	""c6""	""d6""	""a7""	""b7""	""c7""	""d7""	""a8""	""b8""	""c8""	""d8""	""a9""	""b9""	""c9""	""d9""	""a10""	""b10""	""c10""	""d10""	""a11""	""b11""	""c11""	""d11""	""a12""	""b12""	""c12""	""d12""	""a13""	""b13""	""c13""	""d13""	""a14""	""b14""	""c14""	""d14""	""a15""	""b15""	""c15""	""d15""	""a16""	""b16""	""c16""	""d16""	""a17""	""b17""	""c17""	""d17""	""a18""	""b18""	""c18""	""d18""	""a19""	""b19""	""c19""	""d19""	""a20""	""b20""	""c20""	""d20""	""a21""	""b21""	""c21""	""d21""	""a22""	""b22""	""c22""	""d22""	""a23""	""b23""	""c23""	""d23""	""a24""	""b24""	""c24""	""d24""	""a25""	""b25""	""c25""	""d25""	""a26""	""b26""	""c26""	""d26""	""a27""	""b27""	""c27""	""d27""	""a28""	""b28""	""c28""	""d28""	""a29""	""b29""	""c29""	""d29""	""a30""	""b30""	""c30""	""d30""	""a31""	""b31""	""c31""	""d31""	""a32""	""b32""	""c32""	""d32""	""a33""	""b33""	""c33""	""d33""	""a34""	""b34""	""c34""	""d34""	""a35""	""b35""	""c35""	""d35""	""a36""	""b36""	""c36""	""d36""	""a37""	""b37""	""c37""	""d37""	""a38""	""b38""	""c38""	""d38""	""a39""	""b39""	""c39""	""d39""	""a40""	""b40""	""c40""	""d40""	""a41""	""b41""	""c41""	""d41""	""a42""	""b42""	""c42""	""d42""	""a43""	""b43""	""c43""	""d43""	""a44""	""b44""	""c44""	""d44""	""a45""	""b45""	""c45""	""d45""	""a46""	""b46""	""c46""	""d46""	""a47""	""b47""	""c47""	""d47""	""a48""	""b48""	""c48""	""d48""	""a49""	""b49""	""c49""	""d49""	""a50""	""b50""	""c50""	""d50"""
"1	""Archi lldm2_bw.txt""	8.61117	""N""	0.59333	0	0	0.53635	-0.00321	-0.00107	-0.00039	0.0074	0.00183	-0.00029	-0.00201	0.01691	0.00146	-0.00181	0.00003	-0.00646	-0.00456	-0.00257	-0.00289	-0.00422	0.00256	-0.00252	-0.00052	0.00202	-0.0021	-0.00206	0.00138	0.00259	0.00059	-0.00115	0.00097	-0.00055	-0.00209	-0.00031	0.00084	-0.00041	0.00033	0.00089	0.00068	-0.00041	-0.00042	0.00059	0.00074	-0.001	0.00004	0.00091	-0.00105	0.00078	0.00041	0.00045	-0.0002	-0.00012	0.00022	0.0002	-0.00007	-0.00066	0.00003	0.00003	-0.00012	0.00023	0.00042	0.00008	0.00017	0.00079	0.00014	-0.00013	-0.00047	-0.00059	0.00017	0.00043	0.00067	-0.00021	0.00004	0.00006	0.00019	0.00062	0.00029	0.00035	-0.00026	-0.00006	-0.00002	0.00038	0.00003	-0.00027	0.00026	-0.00012	-0.00011	-0.00021	-0.00008	0.00023	-0.00011	0.00047	0.00016	-0.00037	-0.00032	0.00006	-0.00012	0.00014	0.0003	-0.00018	-0.00002	-0.00041	-0.00004	0.00012	0.00005	0.00011	-0.00004	-0.00014	-0.00001	-0.00015	0.00008	0.00002	0.00004	-0.00003	-0.00002	-0.00001	0.00005	0.00017	0.00021	0.00005	-0.00006	-0.00016	-0.00015	-0.00005	0.00002	0.00027	0.00003	0	-0.00017	-0.00029	-0.00017	0.00014	0.00011	0.00016	0	-0.00017	-0.00024	-0.00024	0.00009	0.0001	0.00019	0.00002	-0.00005	-0.00012	-0.00012	-0.00007	0.00007	-0.00005	0.00009	-0.00006	-0.00009	0.00009	0.00011	0.00006	0.0001	-0.00011	-0.0001	-0.00011	-0.00005	0.00007	0.00027	0.00011	0.00004	-0.00009	-0.00021	-0.00005	0.00004	0.0001	0.00024	0.00001	-0.0001	0.00002	-0.00019	0.00002	0.00007	-0.00001	0.00013	-0.00009	-0.00003	0.00001	-0.00005	0.00008	0.00005	-0.00008	0.00007	-0.00005	0.00001	0.00001	0.00014	0.00012	0.00007	-0.00011	-0.00006	-0.00001	-0.00003	0.00014	0.00019	0.00008	-0.00009	-0.00001"
"2	""arcy 29 lrdm2 O1 flipped_bw.txt""	8.23823	""N""	0.59702	0	0	0.53264	0.00146	0.00177	0.00201	-0.00177	0.00857	0.00092	0.00123	0.01311	0.00069	0.00018	-0.00262	0.00058	-0.00029	-0.00018	-0.00162	-0.00184	-0.00024	0.00029	0.00183	0.0004	0.00076	0.00128	0.00267	0.00044	0.00036	0.00048	-0.00082	-0.00104	0.00079	0.00226	-0.00034	-0.00052	0.00065	0.00023	0.00055	0.00054	0.00049	0.00157	-0.0001	0.00043	0.00096	0.0003	-0.00034	-0.00099	-0.00022	0.0005	-0.00073	0.00031	0.00097	0.00024	0.00011	0.00059	-0.00038	-0.00046	-0.00056	0.00003	0.00013	0.0002	-0.00007	0.00029	-0.00008	-0.0005	0.00031	-0.00026	-0.00033	-0.00009	-0.0003	0.00031	-0.00016	0.00002	0.00028	0.00032	-0.00016	-0.00018	0.00018	-0.00039	-0.00024	0.00035	0.00011	-0.00022	0.00008	0.00004	0.00002	0.00006	-0.00003	0.00012	-0.00031	-0.00009	0.00011	0.00014	0.00004	-0.00008	0.00015	-0.00026	-0.00019	-0.0001	0.00005	0.00012	-0.00008	0.00009	0.00013	-0.00028	0.00012	0.00014	-0.0001	-0.00006	-0.00009	0.00011	-0.00001	-0.00003	0.00018	0.00007	-0.00009	-0.00016	-0.00003	-0.00011	0	0.00003	-0.00008	-0.00009	0.00004	-0.00003	0.00017	-0.00004	0.00003	-0.00002	0.00002	0	-0.00001	0.00014	0.00003	0.00005	0.00004	-0.00004	-0.00005	0.00001	-0.00002	0.00007	-0.00015	-0.00003	0.00003	-0.00014	-0.00012	0.00003	0.00009	-0.00003	0.00006	-0.00011	-0.00008	-0.00008	0.00017	0.00012	0.0001	-0.00004	-0.00004	0.00011	-0.00006	0.00007	0.00004	-0.00014	0.00002	-0.00001	0.00007	0.00001	0.00007	0.00004	-0.00006	-0.00005	-0.00001	0.00004	-0.00001	0	0.00007	0.00001	0.00001	0.00004	-0.00003	0.00002	-0.00003	0.00001	0.00005	0.00003	0	0	-0.00005	-0.00002	-0.00002	0.00001	0.00002	0.00002	-0.00002	0.00004	-0.00003	0	0.00004	-0.00001"
"3	""AUS 1971-187 lrdm2 corrected flipped_bw.txt""	9.23774	""R""	0.61378	0	0	0.51738	0.00422	-0.00156	-0.00718	-0.00276	0.0092	0.00295	0.00568	0.02755	0.00328	-0.00406	-0.00182	-0.00215	-0.0034	-0.00072	-0.00811	-0.0055	-0.00102	-0.00042	0.00451	0.00625	0.00022	-0.00072	0.00563	0.00046	-0.00286	0.00153	-0.00064	-0.00203	0.00075	0.00193	-0.00053	-0.00059	-0.00096	0.00073	-0.00026	-0.00072	0.00132	0.00128	-0.00076	-0.00074	0.00012	-0.00026	-0.0005	-0.0002	0.00047	0.00023	-0.00033	0.00109	0.00062	-0.00001	0.00005	-0.00025	-0.00027	-0.00041	-0.00037	0.00017	0.00056	0.00025	0.00052	0.00034	-0.00007	-0.00047	0.00033	-0.00033	0.0001	0.00027	-0.00039	0.00008	0.0004	-0.00017	0.00014	-0.00028	0.00002	0.00006	0.00014	-0.00022	0.00044	0.00012	0.00011	0.00016	0.00002	-0.00028	-0.00048	0.00015	0.00013	0.00038	0.00004	0.00022	0.00008	-0.00037	0.00027	-0.00009	-0.00004	0.00027	-0.00007	-0.00007	0.00007	-0.00012	0.00006	0.00015	-0.00007	0.00003	-0.00014	0.00009	0.00011	-0.00001	-0.00004	-0.00019	-0.00004	-0.00007	0.00008	-0.00015	0.00009	0.00005	0.00008	0.00014	0.0001	-0.00004	-0.00007	0.00001	-0.00002	-0.00005	-0.00014	0	0.00004	0.00002	0.00009	0.0001	-0.00005	-0.00005	0.00014	0.00002	-0.00003	0.00007	-0.00001	-0.00005	0	-0.00005	-0.00007	-0.00005	-0.00003	0.00008	-0.00003	0.00001	0.00004	-0.00005	0.00001	0.00002	-0.00006	-0.00003	-0.00004	0.00002	-0.00001	0.00004	0.00006	0.00003	-0.00009	-0.00006	-0.00002	0.00005	0.00005	0.00009	0.00002	-0.00008	-0.00007	-0.00003	0.00006	-0.00007	0.00007	0.00003	-0.00008	0.00003	0.00004	0.00002	0.00001	-0.00006	-0.00001	0	0.00006	0.00004	0.00007	0	-0.00006	0.00002	-0.00006	0.00005	0.00001	0.00002	0.00002	-0.00003	0.00002	0.00005	-0.00002	0.00004	-0.00003	-0.00001"
"4	""AUS 30-444 lrdm2 corrected flipped_bw.txt""	8.65264	""R""	0.61299	0	0	0.51826	-0.00538	-0.00021	-0.00002	0.00934	0.0083	0.00186	0.00211	0.0252	-0.00388	0.00425	0.0063	0.00028	-0.00505	0.00029	-0.00222	-0.00409	0.00055	0.00282	-0.00563	-0.00505	-0.00085	-0.00098	0.00034	-0.00131	0.0019	0.00247	0.00447	0.00206	-0.00059	-0.00199	-0.00054	0.00169	0.00091	0.00332	-0.00198	-0.0007	-0.00157	-0.00222	-0.00006	-0.0002	0.00033	0.00137	-0.00063	0.00079	-0.00066	-0.00116	0.00108	-0.00075	-0.00037	0.00026	-0.00041	0.0001	0.00007	-0.00031	0.00015	0.00005	-0.00061	-0.00022	-0.00023	0.00021	0.0007	0.00011	-0.00001	-0.00074	-0.00066	-0.00024	0.00037	-0.00012	0.00096	-0.00009	-0.00019	0.00037	-0.00052	0.00011	0.00025	0.00002	0.0003	-0.00016	-0.00015	0.00039	-0.00016	-0.0001	-0.00043	-0.00038	0.00002	0.00008	0.00041	-0.00009	0	-0.00031	0.00019	0.00019	0	0.00044	0.00007	0.00006	-0.00008	-0.0004	-0.00035	0.00005	0.00007	0.00031	-0.00015	-0.00015	-0.00012	-0.0004	0.00023	0.00004	0.00021	0.00011	-0.00004	-0.00006	-0.00015	-0.00013	0.00004	0.00006	0.00002	-0.00011	-0.00011	0.00024	0.00001	-0.00009	-0.00007	-0.00021	-0.00013	-0.00007	0.00016	-0.00004	0.00014	-0.00013	-0.00004	0.00001	-0.00012	0.00003	0.00001	0.00006	0.00006	-0.00009	0.00002	0.00004	-0.00003	0.00002	-0.00001	-0.00008	0.00005	-0.00009	-0.00005	-0.00008	0.00001	0.00003	0.00007	0.00007	0.00001	0	0.00006	0.00007	-0.00001	-0.00001	-0.00007	0.00001	0	0.00007	0.00001	-0.00002	0	-0.00006	0	-0.00008	0.00004	0.00009	0.00004	-0.00004	0.00002	-0.00001	0.00001	0.00008	0.00002	0.00003	-0.00006	0.00003	-0.00005	0	-0.00002	0.00005	0	-0.00001	-0.00001	-0.00006	-0.00001	0.00003	0.00005	-0.00005	-0.00001	0.00002	0.00006	0.00004"
"5	""Aveline 2 506 lldm2 O_bw.txt""	8.33606	""U""	0.6043	0	0	0.52627	0.00043	-0.00279	-0.00695	-0.00144	0.00394	0.00877	0.01076	0.02504	-0.00141	-0.00475	-0.00172	0.00379	-0.00841	0.00657	-0.0059	-0.00141	-0.00165	-0.00072	0.0062	-0.00149	-0.00182	0.00349	0.00292	-0.00589	-0.00067	0.0007	-0.00344	-0.00031	0.00028	0.00194	-0.00265	0.0022	-0.00113	-0.00108	-0.00006	0.00133	-0.0007	-0.0002	-0.00008	0.00032	-0.00109	0.00012	0.00168	-0.00055	-0.00009	0.00018	0.00084	-0.00136	-0.00014	0.00062	-0.00073	-0.00056	0.0004	0.00022	-0.00024	0.00009	0.00034	0.00024	0.00013	0.00001	-0.00017	0.00005	-0.00025	0.00079	0.0002	-0.00003	-0.00031	0.0004	-0.00035	0.00004	0.00032	-0.00052	0.0001	-0.00027	0.00015	-0.00032	-0.00018	0.00028	0.00006	0.0001	-0.00003	-0.00003	0.00013	0.00025	-0.00017	0.00019	-0.00018	-0.00004	-0.00018	0.00002	-0.00016	0.00008	0.00003	0.00019	0.00018	-0.00019	0.00003	-0.00005	0.00002	-0.0003	0	0.00011	-0.00013	0.00017	0.00004	0.00002	0.00013	0.00021	-0.00005	0.00009	0.00013	-0.00009	-0.0001	0.00011	-0.00001	0.00003	-0.00002	0.00009	-0.00009	0.00001	-0.00002	0.00003	-0.00008	-0.00012	-0.00001	-0.00011	-0.00011	-0.00002	0.00002	-0.00001	0.00003	0.00003	0.00003	-0.00002	0.0002	-0.00003	0.00002	0	0.00005	-0.00002	-0.00003	0.00001	-0.00009	0.00009	-0.00003	0.00006	0.00001	0.00005	-0.00007	-0.00008	-0.00002	-0.00003	-0.00007	0.00002	-0.00005	-0.00002	-0.00007	-0.00003	0.00006	0.00002	-0.00002	-0.00002	0.00002	0	-0.00002	0.00002	0.00002	-0.00005	-0.00003	-0.00004	-0.00004	0.00001	0.00001	0.00003	-0.00001	0.00001	-0.00004	-0.00007	0.00001	0.00001	0.00001	-0.00001	-0.00002	0	0	-0.00005	0	-0.00002	0.00004	-0.00002	0.00001	-0.00004	0.00002	-0.00005	0.00001	0"
"6	""Barakai lldm2 1_CMA_EDIT_bw.txt""	8.64757	""N""	0.58834	0	0	0.54084	-0.00279	-0.00305	-0.00388	0.00351	0.00715	0.00275	0.00363	0.00833	-0.00178	-0.00478	-0.00215	-0.00122	0.00076	0.00109	-0.00275	-0.00114	-0.0014	-0.00238	0.00217	0.00086	-0.00035	0.00062	0.00172	0.00213	-0.00103	0.00051	0.0012	-0.00068	-0.00182	0.00092	-0.00104	0.00015	-0.00029	0.00138	0.00015	-0.00004	-0.00096	-0.00017	-0.00044	-0.0008	-0.00022	0.00076	-0.00051	0.00004	0.00018	-0.00047	0.00004	-0.00052	-0.00025	0.00022	-0.00016	0.00008	0.00028	-0.00014	0.00029	0.00033	-0.00006	-0.00013	-0.00025	-0.00026	0.00016	0.00028	0.00025	-0.00018	0.00013	-0.00003	0.00033	0	0.00016	0.0003	-0.00012	0.00017	-0.00004	0.00018	0.00002	0.00017	0.00001	0.00004	-0.00014	0.00003	-0.00024	0.00011	-0.00008	0.00008	-0.00002	0.00003	0.00008	-0.00001	-0.0002	0.0001	0.0001	-0.0001	-0.00009	0	-0.00015	0.00009	-0.00008	0.00001	-0.00016	-0.00004	-0.00002	-0.00016	-0.00008	-0.00015	-0.00004	0.00005	0.00017	-0.00001	0.00002	-0.00015	0.00009	0.00006	-0.00003	0.00015	-0.00004	-0.00001	0	0.00001	0.0001	-0.00003	0.00001	0.00004	-0.00007	-0.00004	0	0.00014	0.00006	0.00004	0.00001	0.00002	0.00005	0.00003	-0.00007	0.00007	-0.00012	0.00008	0.00001	0.00003	-0.00003	-0.00002	-0.00009	-0.00005	-0.00003	-0.00003	-0.00001	0.00006	0.00005	0.00006	-0.00005	-0.00002	0.00006	-0.00001	-0.00003	0.00002	-0.00008	-0.00004	0.00002	-0.00001	-0.00004	-0.00007	0.00002	-0.00002	0.00002	-0.00004	0.00002	-0.00002	0.00003	0.00006	0.00005	-0.00001	0	0	-0.00002	-0.00005	-0.00006	-0.00003	0.00001	0	0.00002	0.00004	0.00003	0	0.00011	-0.00003	-0.00005	0.00006	0.00005	0.00003	0	0.00007	0	0.00006	-0.00004	0.00001	-0.0001	-0.00003"
"7	""Bruniquel II lrdm2 O flipped_bw.txt""	8.40234	""U""	0.60098	0	0	0.52898	0.00335	-0.00408	-0.00301	-0.00445	0.00867	0.00015	-0.00134	0.01777	0.00204	-0.00543	-0.00456	0.00177	-0.00107	-0.00064	0.00056	-0.00345	-0.00088	-0.00134	0.00657	0.00178	-0.00051	-0.00035	-0.00022	0.00198	-0.00045	0.0005	-0.00294	-0.00182	-0.0005	0.00014	0.00055	-0.0015	0	-0.00119	-0.00004	0.00094	-0.00077	0.0005	0.00006	0.00149	-0.00053	-0.00038	0.00087	0.00008	-0.00075	0.00015	-0.00043	-0.00091	0.00009	0.00037	0.00004	-0.00095	0.00004	-0.00072	-0.00048	-0.0003	0.00044	-0.00006	-0.00048	0.0003	0.0003	-0.00076	0.00005	-0.00009	-0.00016	-0.00012	0.00014	0.00049	0	-0.00022	0.00046	0.0005	-0.00023	-0.00012	-0.00003	-0.00025	-0.00022	0.0003	0.00034	-0.00006	-0.00004	0.00001	0.00016	-0.00013	-0.00015	0.00033	-0.00025	-0.00017	0.00001	0.00017	0.00004	0.00006	0.00004	-0.00003	-0.00032	0	-0.0001	0.00001	-0.00029	0.00009	-0.00004	-0.00019	0.00017	0.00012	-0.00012	-0.00002	0.00024	0	-0.00002	-0.00008	-0.00007	-0.00012	0.00004	0.00016	0.00003	-0.00021	-0.00001	-0.00007	0.00003	0.0001	0.00002	0.00007	-0.00015	0.00018	-0.00008	0.00001	0.00006	-0.00002	0	-0.00004	0.00001	-0.00005	0.00008	0.00007	-0.00001	-0.00013	-0.00007	-0.00009	-0.00004	0.00009	0.00008	0.0001	0.00011	0.0001	-0.00016	-0.00001	0.00008	0.00001	-0.00002	0.00008	-0.00016	0.00002	-0.00002	0.00001	-0.00005	-0.00014	0.00001	-0.00003	0	-0.00001	0.00006	-0.00001	0.00004	0.00005	0.00003	0.00004	0.00011	-0.00003	0	0.00005	0.00005	0.00001	0.00002	0.00007	-0.00007	0.00002	0	0.00004	-0.00006	-0.00003	-0.00001	-0.00001	-0.00002	0.00002	-0.00002	-0.00001	-0.00002	0.00005	-0.00004	-0.00003	-0.00002	0.00002	-0.00002	0	0.00005	-0.00003"
"8	""Capelle3 lrdm2 O flipped_bw.txt""	8.12826	""U""	0.62704	0	0	0.50607	0.00891	0.00466	0.01282	-0.00329	0.00989	-0.00261	-0.00124	0.03347	0.00522	0.00681	0.0015	0.00243	-0.00384	-0.00301	-0.00494	-0.00781	0.0033	0.00318	-0.00324	-0.00311	-0.00041	-0.00032	0.00809	0.00204	0.00081	0.00097	-0.00019	0.00406	0.00055	0.00195	-0.00219	-0.00096	-0.00276	0.00092	-0.0002	0.00188	0.00152	-0.00016	-0.00181	-0.0012	-0.00289	0.00173	0.001	-0.00127	0.0013	-0.00211	0.00004	0.001	-0.00156	0.00108	-0.00174	-0.00042	0.00077	-0.00157	0.00053	0.00004	-0.00057	-0.0002	-0.00028	-0.00049	0.00024	-0.00025	0.00098	-0.00016	-0.00017	-0.00059	0.00008	0.00051	-0.00028	0.00029	0.00004	0.00037	0.00015	-0.00048	0.00011	-0.00039	-0.00044	0.00081	0.00031	0.00016	-0.00007	-0.00033	0.00015	0.00028	-0.00022	0.00073	-0.00009	-0.00047	-0.00047	-0.00023	-0.00019	0.00033	0.00034	0.00037	0.00001	0.0001	-0.00063	-0.00012	-0.0001	-0.00035	0.00034	0.00009	-0.00026	-0.0001	-0.00019	-0.00015	0.00011	-0.00024	0.0002	-0.00002	0.0002	0.00014	0.00014	0.00017	0.00008	-0.00005	0.00014	-0.00004	-0.00003	-0.00006	0.0002	0.00039	0.00025	-0.0002	0.00015	-0.00011	-0.00018	0.00006	0.0001	0.00037	-0.00003	0.00033	0.00004	-0.00014	0.00001	0.00001	-0.00008	0.00006	-0.0003	-0.00012	0	-0.00001	0.00007	0.00018	0	-0.00014	0.00008	-0.00008	-0.00008	-0.00001	-0.00023	-0.00001	0.00016	-0.00012	-0.00003	-0.00009	-0.00003	-0.00017	0.00006	-0.00009	0.00016	-0.00003	-0.00004	0.00002	-0.00008	-0.00009	0.00007	0.00022	0.00001	0.00004	0.00015	0.00007	-0.00008	0.00004	0.00009	-0.00023	-0.00004	0.00007	-0.00005	0.0001	0.00004	0.00006	0.00002	-0.00003	-0.00005	-0.00001	-0.00011	-0.00004	0	-0.00002	-0.00013	0.00012	-0.00001	-0.00007	0.00013	0.00004"
"9	""Combe Grenal I lrdm2 O flipped_bw.txt""	8.15369	""N""	0.59226	0	0	0.53709	-0.00182	-0.00153	-0.00217	0.0019	0.00746	0.0006	0.00094	0.0109	-0.00138	-0.003	-0.00187	-0.00054	0.00089	-0.00002	-0.00117	-0.00291	-0.00026	-0.0026	0.00039	-0.00058	-0.00009	-0.00047	0.00037	0.00291	0.00004	-0.00105	0.00063	0.00016	-0.00155	-0.00104	-0.0011	-0.0003	-0.0006	-0.00017	0.00026	0.00048	-0.00094	-0.00079	0.0009	-0.00026	-0.00073	0.00007	0.00011	-0.00012	-0.00065	0.00011	0.00022	0.00016	-0.00015	0.00002	-0.00013	-0.00048	-0.00027	-0.00002	-0.00036	-0.00056	-0.0001	-0.00008	-0.00006	0.00035	0.00007	-0.00001	0.00037	0.0001	-0.00018	-0.00031	-0.00026	-0.00022	0.00022	0.00009	-0.00026	-0.00026	0.00009	-0.00036	0.00011	-0.00014	0.00023	-0.00008	-0.00002	0.00014	0.00025	-0.00003	0.00022	-0.00002	0.00008	-0.00014	-0.00009	0.00009	0.00024	0.00011	-0.00003	0	-0.00004	-0.0001	0.00005	0.00006	-0.00003	0.00003	-0.00003	0.00032	-0.00019	-0.00008	0	0.0001	-0.00015	0.00008	0.00009	-0.00015	-0.00011	-0.00013	-0.00003	-0.00016	-0.00006	0.00009	-0.00007	0.00002	0.00002	-0.00014	0.00002	0	0.00004	0.00004	0	-0.00012	-0.00005	-0.00004	0.0001	0.0001	0.00012	0.00005	-0.00003	-0.00002	-0.00004	0.00001	-0.00006	-0.00009	-0.00001	0	-0.00004	0.00016	0.00003	0	0.00003	0.00001	-0.00009	-0.00003	0	-0.00005	0.00003	0.00004	0	-0.00001	-0.00004	0	0.00003	0.00002	0.00009	0.0001	0.00006	-0.00006	-0.00003	0.00002	0	0.00001	0.0001	0.0001	-0.00003	0.00004	-0.00002	-0.00002	-0.00005	-0.00001	-0.00001	0.00008	0.00001	0.00009	-0.00001	-0.00006	0.00002	0.00001	-0.00003	0.0001	0.00003	-0.00005	0.00005	0.00003	0.00007	-0.00008	-0.00001	0.00008	-0.00004	0.00004	0.00014	0.0001	0.00002	-0.00004"
"10	""Cova Negra lrdm2 O flipped_bw.txt""	8.03722	""N""	0.60335	0	0	0.52698	0.00422	-0.00055	-0.00203	-0.00147	0.00953	0.00373	0.00632	0.01485	0.00098	-0.00365	-0.00448	0.00272	-0.00243	0.00311	-0.00283	0.00024	0.00018	-0.00363	0.0014	-0.00103	-0.00255	0.00266	0.00245	0.00093	0.00149	-0.00072	0.00178	-0.00099	-0.00247	0.00217	-0.0019	-0.00022	0.0014	0.00098	0.00087	0.00085	-0.00065	0.00078	0.00011	-0.00188	0.00041	0.00061	-0.00116	0.00047	0.0001	0.00078	0.00034	0.00048	0.0001	-0.00033	-0.0004	-0.0001	-0.00015	0.00059	-0.00015	0.00015	-0.00001	-0.00067	-0.00029	0.00003	-0.00014	0.00041	0.00008	0.00009	0.00005	-0.00056	0.00027	-0.0003	-0.00011	0.00022	-0.00017	0.00004	0.0002	0.00009	0.00057	-0.00003	0.0001	-0.00016	-0.00027	-0.00032	-0.00021	0.00043	-0.00012	0.00057	0.00043	-0.0002	0.00028	-0.00022	-0.00038	0.00017	-0.0003	-0.00024	0.00035	-0.00003	0	0.00022	-0.00009	0.00001	0.00004	-0.0001	0.00004	-0.00009	0	0.00014	-0.00003	0.0001	0.00009	0.00007	-0.00006	-0.00016	-0.00012	-0.00001	-0.00012	0.00003	-0.0001	0.00006	-0.00002	-0.00008	0.00012	-0.00008	-0.00012	-0.00008	0.00003	0.00001	-0.00004	0.00003	-0.00004	0	-0.00001	-0.00008	-0.00001	-0.00007	-0.00009	-0.00004	-0.00008	0.00001	0.00004	-0.00006	0.00003	0.00003	-0.00009	-0.00001	0.00007	-0.00001	0.00004	-0.0001	-0.00002	-0.00002	-0.00006	0.00008	0.00001	-0.00001	0.00006	-0.00012	0.00003	0.00002	0.00001	0.0001	-0.00001	-0.00007	0.00005	-0.00012	-0.00002	-0.00001	0.00001	0.00011	0.00003	0.00007	0.00004	-0.00009	0.00006	0.00003	-0.00004	0.00008	-0.00004	0	0	-0.00003	0	0.00002	-0.00001	0.00003	-0.00001	-0.00001	-0.00005	-0.00004	-0.00003	0.00003	0.00004	-0.00001	-0.00002	-0.00005	-0.00009	-0.00004	0.00003	0.00004"
