Udm1,,,,,,,,,,,
Specimen Number,ID,Group,,,,,,,,,
STS 24,STS24URDM1flcrsc.jpg,Aafricanus,,,,,,,,,
DNH 36,DNH36URDM1Oflcrsc.jpg,Probustus,,,,,,,,,
SK 91,SK91URDM1Oflcrsc.jpg,Probustus,,,,,,,,,
AL 333-86,AL333-86URDM1Oflcrsc.jpg,Aafarensis,,,,,,,,,
101-823,101-823urdm1flcrsc.jpg,Hnaledi,,,,,,,,,
101-1377,101-1377uldmflcrsc.jpg,Hnaledi,,,,,,,,,
Blombos 8928,Blombos 8928 udm1 O_bw.jpg,EarlyHomosapiens,,,,,,,,,
Arcy 18,arcy 18 uldm1 O_bw.jpg,Neandertals,,,, ,,,,,
KRP KDP 1,KRP KDP 1 uldm1 O1_bw.jpg,Neandertals,,,,,,,,,
KRP D181,KRP_D181 urdm1 O flipped_bw.jpg,Neandertals,,,,,,,,,
KRP D183,KRP_D183 uldm1 O flipped_bw.jpg,Neandertals,,,,,,,,,
La Ferrassie 8,La Ferrassie 8 urdm1 O corrected flipped_bw.jpg,Neandertals,,,,,,,,,
Subalyuk 2,Subalyuk 2 uldm1 O corrected_bw.jpg,Neandertals,,,,,,,,,
Valgedoba 7,Valgedoba 7 uldm1 O_bw.jpg,Neandertals,,,,,,,,,
LaQuina H18,LaQuina H18 uldm1 O corrected_bw.jpg,Neandertals,,,,,,,,,
Mezmaskaiya,Mezmaskaiya uldm1 O_bw.jpg,Neandertals,,,,,,,,,
AUS 30-444,AUS 30-444 uldm1 O_bw.jpg,Recent,,,,,,,,,
AUS 1971-187,AUS 1971-187 urdm1 corrected flipped_bw.jpg,Recent,,,,,,,,,
EAF 2899,EAF 2899 urdm1 O flipped_bw.jpg,Recent,,,,,,,,,
EAF 4041,EAF 4041 urdm1 O flipped_bw.jpg,Recent,,,,,,,,,
EAF 6921,EAF 6921 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
EAF 7361,EAF 7361 uldm1 O_bw.jpg,Recent,,,,,,,,,
EAF 7383,EAF 7383 urdm1 O flipped_bw.jpg,Recent,,,,,,,,,
EAF 9558,EAF 9558 uldm1 O_bw.jpg,Recent,,,,,,,,,
EAF 11175,EAF 11175 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
EAF 17269,EAF 17269 uldm1 O corrected_bw.jpg,Recent,,,,,,,,,
EAF 17590,EAF 17590 urdm1 flipped corrected_bw.jpg,Recent,,,,,,,,,
EAF 17846,EAF 17846 urdm1 O flipped corrected_bw.jpg,Recent,,,,,,,,,
EAF 17898,EAF 17898 uldm1 O_bw.jpg,Recent,,,,,,,,,
EAF 18492,EAF 18492 urdm1 O corrected flipped_bw.jpg,Recent,,,,,,,,,
EAF 19227,EAF 19227 urdm1 O flipped corrected_bw.jpg,Recent,,,,,,,,,
EAF 25106,EAF 25106 uldm1 O corrected_bw.jpg,Recent,,,,,,,,,
EAF 25119,EAF 25119 urdm1 O flipped corrected_bw.jpg,Recent,,,,,,,,,
EAF 25123,EAF 25123 uldm1 O corrected_bw.jpg,Recent,,,,,,,,,
EGY 7330,EGY 7330 uldm1 O corrected_bw.jpg,Recent,,,,,,,,,
EGY 7359,EGY 7359 uldm1 O corrected_bw.jpg,Recent,,,,,,,,,
EGY 18447,EGY 18447 uldm1 O corrected_bw.jpg,Recent,,,,,,,,,
IN 6-5301,IN 6-5301 uldm1_bw.jpg,Recent,,,,,,,,,
IN 6-5302,IN 6-5302 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
IN 6-5303,IN 6-5303 urdm1 flipped corrected_bw.jpg,Recent,,,,,,,,,
IN 6-8194,IN 6-8194 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
IN 6-8501,IN 6-8501 uldm1_bw.jpg,Recent,,,,,,,,,
IN 6-8639,IN 6-8639 uldm1_bw.jpg,Recent,,,,,,,,,
IN 6-8640,IN 6-8640 uldm1_bw.jpg,Recent,,,,,,,,,
IN 6-8641,IN 6-8641 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
IN 6-8642,IN 6-8642 uldm1_bw.jpg,Recent,,,,,,,,,
IN 6-9211,IN 6-9211 uldm1_bw.jpg,Recent,,,,,,,,,
IN 6-9213,IN 6-9213 uldm1_bw.jpg,Recent,,,,,,,,,
IN 6-9217,IN 6-9217 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
IN 45-1-12-429,IN 45-1-12-429 uldm1_bw.jpg,Recent,,,,,,,,,
IN 58-6-24-211,IN 58-6-24-211 uldm1_bw.jpg,Recent,,,,,,,,,
IN 1910-9-5-1,IN 1910-9-5-1 uldm1_bw.jpg,Recent,,,,,,,,,
IN 1949-12-7-2,IN 1949-12-7-2 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
IN 1949-12-7-19,IN 1949-12-7-19 uldm1_bw.jpg,Recent,,,,,,,,,
IN As 56-3-246,IN As 56-3-246 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
IT 1 ,IT 1 uldm1 2_bw.jpg,Recent,,,,,,,,,
IT 2,IT 2 uldm1 2_bw.jpg,Recent,,,,,,,,,
IT 1105,IT 1105 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
PB149,PB149 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
PB162,PB162 uldm1_bw.jpg,Recent,,,,,,,,,
PB291,PB291 uldm1_bw.jpg,Recent,,,,,,,,,
PB292,PB292 urdm1 flipped corrected_bw.jpg,Recent,,,,,,,,,
PB294,PB294 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
PB311,PB311uldm1_bw.jpg,Recent,,,,,,,,,
PB321,PB321 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
PB335B,PB335B uldm1 corrected_bw.jpg,Recent,,,,,,,,,
PB359B,PB359B urdm1 corrected flipped_bw.jpg,Recent,,,,,,,,, 
PB379,PB379 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
PB414,PB414 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
PB419,PB419 uldm1_bw.jpg,Recent,,,,,,,,,
PB424,PB424 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
PB452,PB452 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
PB464,PB464 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
PB471B,PB471B uldm1_bw.jpg,Recent,,,,,,,,,
PB473,PB473 uldm1_bw.jpg,Recent,,,,,,,,,
PB492,PB492 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
PB544,PB544 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
PB623,PB623 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
PB636,PB636 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
PB649,PB649 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
PB674,PB674 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
PB787,PB787 urdm1 flipped_bw.jpg,Recent,,,,,,,,,
PB833,PB833 urdm1 corrected flipped_bw.jpg,Recent,,,,,,,,,
PB891,PB891 uldm1_bw.jpg,Recent,,,,,,,,,
PB940,PB940 uldm1 corrected_bw.jpg,Recent,,,,,,,,,
PB1010,PB1010 uldm1_bw.jpg,Recent,,,,,,,,,
PB1046,PB1046 uldm1_bw.jpg,Recent,,,,,,,,,
