,SPECIE,%PROT_,%PARA_,%META_,%IPO_,,,,SPECIE,PROT_,PARA_,META_,IPO_
CD 1634,Probustus,28.99819237,24.75473025,24.91531239,21.33176499,,,CD 1634,Probustus,33.528,28.62166667,28.80733333,24.664
KB 5063,Probustus,28.40636456,24.09303907,25.69185675,21.80873962,,,KB 5063,Probustus,34.53333333,29.28966667,31.23333333,26.51266667
SK 839,Probustus,30.69962865,22.31559128,25.89584895,21.08893112,,,SK 839,Probustus,29.34833333,21.33333333,24.756,20.16066667
DNH 57,Probustus,30.14599617,21.05097577,25.29617067,23.55011552,,,DNH 57,Probustus,30.663,21.412,25.73,23.954
SK 27,Homosp,33.42805008,20.70733446,23.93988917,21.92472629,,,SK 27,Homosp,36.273,22.46966667,25.97733333,23.79066667
SKX 267,Homosp,30.06243233,24.20708891,24.81290862,20.91757014,,,SKX 267,Homosp,29.24433333,23.54833333,24.13766667,20.34833333
STW 151,Homosp,34.87345215,21.68791796,24.90960868,18.52902121,,,STW 151,Homosp,29.064,18.075,20.76,15.44233333
STS 2,Aafricanus,34.17826628,22.13297705,23.66634305,20.02241362,,,STS 2,Aafricanus,36.49566667,23.63366667,25.271,21.38
STS 24a,Aafricanus,30.77337663,23.33742162,22.03285598,23.85634577,,,STS 24a,Aafricanus,29.69066667,22.51633333,21.25766667,23.017
TAUNG,Aafricanus,36.68786346,20.05338625,22.74706146,20.51168883,,,TAUNG,Aafricanus,34.63566667,18.93166667,21.47466667,19.36433333
UW 101-1687,Hnaledi,34.51508478,19.32440401,26.12368678,20.03682443,,,UW 101-1687,Hnaledi,28.681,16.058,21.708,16.65
UW 101-384,Hnaledi,27.96610169,23.91450648,25.09346959,23.02592223,,,UW 101-384,Hnaledi,22.44,19.189,20.135,18.476
UW 101-544A,Hnaledi,28.10497037,24.20553338,25.48474221,22.20475403,,,UW 101-544A,Hnaledi,20.916,18.014,18.966,16.525
LH6,Aafarensis,33.72255482,24.69251985,22.91894396,18.54364083,,,LH6,Aafarensis,46.584,34.11,31.66,25.616
OH 30,Pboisei,30.08898461,22.6117267,25.81545612,21.44982571,,,OH 30,Pboisei,42.47,31.916,36.438,30.276
OmoW8-753,Pboisei,31.76464098,22.15111307,27.34177448,18.78017158,,,OmoW8-753,Pboisei,34.545,24.09,29.735,20.424
OmoL144-23,Pboisei,30.24129461,22.38597505,27.06159996,20.33713818,,,OmoL144-23,Pboisei,31.395,23.24,28.094,21.113
SAFUCT51,Recent,27.21631206,26.53242148,24.98733536,21.2639311,,,SAFUCT51,Recent,21.49,20.95,19.73,16.79
SAFUCT 58C,Recent,35.24419297,31.67063728,18.65693865,14.42823109,,,SAFUCT 58C,Recent,23.67,21.27,12.53,9.69
SAFUCT231,Recent,37.62104161,24.86260141,20.24339178,17.27296519,,,SAFUCT231,Recent,28.75,19,15.47,13.2
SAFUCT468,Recent,29.43488278,27.90350996,23.77015856,18.89144871,,,SAFUCT468,Recent,21.72,20.59,17.54,13.94
SAFUCT471,Recent,33.87274156,27.1641791,19.2615868,19.70149254,,,SAFUCT471,Recent,21.56,17.29,12.26,12.54
SAFA1244,Recent,29.39860508,27.66153441,25.26648243,17.67337808,,,SAFA1244,Recent,22.34,21.02,19.2,13.43
SAFA1320,Recent,34.3448451,24.27628238,23.10817674,18.27069578,,,SAFA1320,Recent,27.05,19.12,18.2,14.39
SAFA1439,Recent,31.79464418,23.361444,22.59209942,22.2518124,,,SAFA1439,Recent,21.49,15.79,15.27,15.04
SAFA3148,Recent,31.89189189,27.69041769,20.76167076,19.65601966,,,SAFA3148,Recent,25.96,22.54,16.9,16
LV,UPHs,30.28330319,27.52260398,22.59192285,19.60216998,,,LV,UPHs,25.12,22.83,18.74,16.26
Madeleine,UPHs,34.3079922,22.8719948,22.02729045,20.79272255,,,Madeleine,UPHs,26.4,17.6,16.95,16
Pataud,UPHs,32.23935985,26.74243303,21.94131973,19.07688739,,,Pataud,UPHs,27.8,23.06,18.92,16.45
StGerm B6,UPHs,29.90641343,28.03468208,25.14450867,16.91439582,,,StGerm B6,UPHs,21.73,20.37,18.27,12.29
StGerm B7,UPHs,30.96923828,29.41894531,21.83837891,17.7734375,,,StGerm B7,UPHs,25.37,24.1,17.89,14.56
Kostenki 15,UPHs,29.07507863,27.84048134,25.78073623,17.30370379,,,Kostenki 15,UPHs,23.92964376,22.91353393,21.2183032,14.2414565
Veyrier 1,UPHs,35.9360152,26.08489072,21.91954387,16.05955021,,,Veyrier 1,UPHs,22.69,16.47,13.84,10.14
Bruniquel II,UPHs,23.0859974,26.93169753,26.57779875,23.40450631,,,Bruniquel II,UPHs,19.57,22.83,22.53,19.84
Le Fadets,UPHs,31.99732799,25.73146293,22.29792919,19.97327989,,,Le Fadets,UPHs,23.95,19.26,16.69,14.95
Qafzeh 10,EHs,29.45140731,28.1142317,21.97725125,20.45710975,,,Qafzeh 10,EHs,25.72859502,24.56044542,19.19921147,17.87122383
Qafzeh 15,EHs,34.30603304,22.8332594,19.60602196,23.2546856,,,Qafzeh 15,EHs,33.44912413,22.26292171,19.11629542,22.67382137
Skhul 1,EHs,28.35200806,27.76029208,22.67405262,21.21364724,,,Skhul 1,EHs,22.52,22.05,18.01,16.85
DieKelders 6243,EHs,33.77242835,25.7937254,24.23116531,16.20268093,,,DieKelders 6243,EHs,26.31525937,20.09830525,18.88076846,12.62502497
Cova Negra,Neanderthals,26.1064303,24.90815751,22.83717453,26.14823766,,,Cova Negra,Neanderthals,19.94805479,19.03244852,17.45,19.98
KDP 1 KRP 45 D187,Neanderthals,28.26624902,25.44714174,21.11720178,25.16940746,,,KDP 1 KRP 45 D187,Neanderthals,23.28151257,20.95955321,17.39319562,20.73079721
KDP 3 D189,Neanderthals,32.0758557,26.00222496,19.7297274,22.19219193,,,KDP 3 D189,Neanderthals,34.8957255,28.28814648,21.46421776,24.14316379
KDP 22 D185,Neanderthals,31.84471986,25.68882516,19.11297757,23.35347741,,,KDP 22 D185,Neanderthals,31.09,25.08,18.66,22.8
La Ferrassie 8,Neanderthals,25.46515136,20.42643065,23.76546314,30.34295484,,,La Ferrassie 8,Neanderthals,25.32,20.31,23.63,30.17
Quina H18,Neanderthals,31.38375486,26.31322957,21.875,20.42801556,,,Quina H18,Neanderthals,25.81,21.64,17.99,16.8
Roc Marsal,Neanderthals,24.88280286,26.69627436,24.14261041,24.27831236,,,Roc Marsal,Neanderthals,20.17,21.64,19.57,19.68
Arcy 45,Neanderthals,29.65508623,23.06923269,20.80729818,26.4683829,,,Arcy 45,Neanderthals,23.73,18.46,16.65,21.18
KRP 6 MxB,Neanderthals,27.42554152,24.30054152,23.71389892,24.56001805,,,KRP 6 MxB,Neanderthals,24.31,21.54,21.02,21.77
KRP 47,Neanderthals,32.86196707,25.6120726,21.81300127,19.71295905,,,KRP 47,Neanderthals,31.14,24.27,20.67,18.68
KRP D186,Neanderthals,29.32003211,24.12567366,24.12567366,22.42862057,,,KRP D186,Neanderthals,25.57,21.04,21.04,19.56
KRP D188,Neanderthals,31.24567816,21.2683987,23.6096019,23.87632125,,,KRP D188,Neanderthals,31.63,21.53,23.9,24.17
KRP 190,Neanderthals,31.26533474,25.18985863,18.37831522,25.16649141,,,KRP 190,Neanderthals,26.76,21.56,15.73,21.54
